X.1;AfD;FDP;DIE LINKE;GRÜNE;CSU
1990;null;168217;280882;41316;186198
1991;null;140031;172579;38873;184513
1992;null;103505;146742;36320;181758
1993;null;94197;131406;39761;177289
1994;null;87992;123751;43899;176250
1995;null;80431;114940;46410;179647
1996;null;75038;105029;48034;178573
1997;null;69621;98624;48980;178457
1998;null;67897;94627;51812;178755
1999;null;64407;88594;49488;183569
2000;null;62721;83475;46631;181021
2001;null;64063;77845;44053;177661
2002;null;66560;70805;43881;177705
2003;null;65192;65753;44052;176989
2004;null;64146;61385;44322;172892
2005;null;65022;61270;45105;170117
2006;null;64880;60338;44677;166928
2007;null;64078;71711;44320;166392
2008;null;65600;75968;45089;162232
2009;null;72116;78046;48171;159198
2010;null;68541;73658;52991;153890
2011;null;63123;69458;59074;150585
2012;null;58675;63761;59653;147965
2013;17687;57263;63756;61359;148380
2014;20728;54967;60551;60329;146536
2015;16385;53197;58989;59418;144360
2016;25015;53896;58910;61596;142412
2017;27621;63050;62300;65065;140983
2018;33516;63912;62016;75311;138354
2019;34751;65479;60862;96487;139130
