nr;area name;belongs to;eligible voters;voters;invalid votes;valid votes;cdu;spd;linke;green;fdp;afd
1;Flensburg – Schleswig;1;228471;171914;1449;170465;58320;40388;14002;22304;18955;11653
2;Nordfriesland – Dithmarschen Nord;1;186568;139194;1123;138071;52928;31120;8589;15144;18050;9030
3;Steinburg – Dithmarschen Süd;1;176636;132017;1139;130878;47366;29756;8732;12960;17298;11180
4;Rendsburg-Eckernförde;1;200831;157354;1087;156267;56585;35766;9962;19337;19071;11578
5;Kiel;1;204650;153273;1204;152069;40736;36208;15546;26143;17804;10504
6;Plön – Neumünster;1;174937;131713;1199;130514;43778;31013;8503;16350;16481;11161
7;Pinneberg;1;238533;187715;1343;186372;63863;42729;13111;21336;24735;15977
8;Segeberg – Stormarn-Mitte;1;247296;193280;1335;191945;66367;43027;13237;21010;26043;17166
9;Ostholstein – Stormarn-Nord;1;181522;138439;1144;137295;48898;33764;8303;13493;18147;11782
10;Herzogtum Lauenburg – Stormarn-Süd;1;244930;193334;1363;191971;66031;42815;12480;20826;26163;18792
11;Lübeck;1;181638;130961;1167;129794;38263;32919;12213;16568;14097;11539
1;Schleswig-Holstein;99;2266012;1729194;13553;1715641;583135;399505;124678;205471;216844;140362
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;216800;157071;1660;155411;51083;28947;25929;6606;9879;25692
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;205876;146768;1657;145111;48841;25029;24409;5521;9008;25688
14;Rostock – Landkreis Rostock II;13;222913;164016;1694;162322;49433;25650;33575;10229;10661;25171
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13;240887;169528;2116;167412;55110;20405;30107;8498;11490;32881
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;226039;156965;2152;154813;51789;19064;27246;4068;8659;35595
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;212099;144239;1798;142441;51007;20594;24102;4592;8198;27382
